2.160.10	0.783993	0.63313	0.927938	0.763299	0.519743	0.848521	0.698947	0.502004	
2.160.10	0.785168	0.64838	0.927748	0.767054	0.531644	0.859293	0.715493	0.553036	
2.160.10	0.779489	0.621916	0.926133	0.76537	0.531722	0.844905	0.688797	0.483564	
2.160.10	0.786473	0.6479	0.928641	0.763096	0.528256	0.855427	0.712136	0.544985	
2.160.10	0.788172	0.636359	0.930954	0.77127	0.551017	0.851601	0.704512	0.497338	
2.160.10	0.774368	0.618212	0.923328	0.750493	0.507594	0.842197	0.690328	0.472288	
2.160.10	0.786674	0.652525	0.925796	0.755901	0.516775	0.855868	0.713796	0.556629	
2.160.10	0.788339	0.639686	0.930852	0.767447	0.548316	0.850908	0.710179	0.503512	
2.160.10	0.786705	0.649175	0.92651	0.766509	0.527794	0.857666	0.716442	0.549043	
2.160.10	0.787465	0.645541	0.925726	0.751544	0.528087	0.848619	0.709127	0.523917	
2.160.20	0.799053	0.657702	0.937224	0.791781	0.559051	0.861893	0.719945	0.540444	
2.160.20	0.796888	0.653908	0.936454	0.791833	0.562118	0.862341	0.717921	0.532244	
2.160.20	0.806323	0.664645	0.938842	0.796235	0.570015	0.864385	0.721943	0.537261	
2.160.20	0.79375	0.655313	0.932281	0.774983	0.535453	0.858616	0.709058	0.55896	
2.160.20	0.786962	0.640573	0.931889	0.775464	0.540916	0.857326	0.7111	0.515655	
2.160.20	0.79768	0.652845	0.934132	0.783163	0.543647	0.859384	0.707639	0.531267	
2.160.20	0.800159	0.662458	0.938474	0.79548	0.567992	0.866804	0.725357	0.556801	
2.160.20	0.777197	0.623039	0.921995	0.739012	0.473035	0.842006	0.683318	0.484406	
2.160.20	0.797959	0.657336	0.935962	0.78856	0.551625	0.862794	0.718769	0.540631	
2.160.20	0.798983	0.653665	0.935834	0.787892	0.558558	0.858278	0.711654	0.523023	
2.160.20	0.798124	0.655354	0.937067	0.791464	0.55694	0.862425	0.717281	0.540266	
2.160.20	0.784913	0.63852	0.924994	0.751092	0.493797	0.846607	0.699625	0.499911	
2.160.20	0.797719	0.653339	0.936388	0.791727	0.562115	0.860991	0.716306	0.5308	
2.160.20	0.783629	0.642877	0.923555	0.751311	0.491916	0.851244	0.70588	0.517228	
2.160.20	0.798379	0.651592	0.936187	0.789731	0.560343	0.858946	0.709569	0.520297	
2.160.20	0.796874	0.659913	0.93566	0.78984	0.551956	0.866145	0.723489	0.559445	
2.160.20	0.792078	0.650312	0.934794	0.784448	0.549202	0.857018	0.709603	0.550213	
2.160.20	0.801164	0.665187	0.940277	0.797211	0.564136	0.868518	0.727508	0.563473	
2.160.20	0.798264	0.653566	0.937671	0.796817	0.56497	0.862555	0.716431	0.530331	
2.160.20	0.797127	0.660745	0.935884	0.78786	0.545479	0.866856	0.724425	0.555722	
2.160.20	0.796057	0.654007	0.936869	0.795527	0.558158	0.863877	0.716654	0.546149	
2.160.20	0.797827	0.657589	0.936506	0.790248	0.56014	0.864096	0.720237	0.548674	
2.160.20	0.800808	0.659887	0.937192	0.798753	0.560597	0.86532	0.722516	0.546382	
2.160.20	0.797043	0.659323	0.938518	0.800314	0.56898	0.869165	0.728845	0.555282	
2.160.20	0.796116	0.647229	0.934268	0.786536	0.54748	0.857646	0.709285	0.510823	
2.160.20	0.798337	0.664889	0.938182	0.793272	0.557347	0.869485	0.729179	0.57059	
2.160.20	0.794461	0.657292	0.935604	0.78725	0.545064	0.865579	0.721268	0.55763	
2.160.20	0.786095	0.634239	0.924977	0.755865	0.499655	0.845219	0.691185	0.481535	
2.160.20	0.797615	0.652845	0.936724	0.791774	0.564173	0.860589	0.714653	0.527647	
2.160.20	0.795879	0.6572	0.935864	0.78762	0.55115	0.864005	0.720702	0.544462	
2.160.20	0.797209	0.663083	0.938315	0.794019	0.556051	0.869331	0.72982	0.566201	
2.160.20	0.795573	0.654172	0.936695	0.790466	0.552529	0.865176	0.719936	0.543035	
2.160.20	0.80559	0.671722	0.937772	0.793901	0.568499	0.866304	0.728348	0.561691	
2.160.20	0.805289	0.67319	0.937779	0.793764	0.566403	0.867375	0.732609	0.565857	
2.160.20	0.798577	0.654783	0.937908	0.796518	0.564609	0.862076	0.717386	0.530474	
2.160.20	0.789805	0.642462	0.932009	0.780445	0.532614	0.856856	0.70796	0.516005	
